recno,n_ACSVCS,ACSVCS,R,VCC,RAJ2000,DEJ2000,BTmag,Jmag,e_Jmag,Hmag,e_Hmag,Ksmag,e_Ksmag,E(B-V),Vsys,e_Vsys,MType,OName,Dust,SD,LD,N,B,Com,Simbad,NED
1,P,1,R,1226,12 29 46.79,+08 00 01.5,9.31,6.39,0.02,5.75,0.02,5.51,0.02,0.022,997,7,E2/S0_1_(2),"M49, N4472",C1,,,II,,Dust lane,Simbad,NED
2,P,2,R,1316,12 30 49.42,+12 23 28.0,9.58,6.83,0.02,6.16,0.02,5.90,0.02,0.023,1307,7,E0,"M87, N4486",C1,,,0,,Dust filaments. Nonthermal nucleus; saturated in g band,Simbad,NED
3,P,3,R,1978,12 43 39.66,+11 33 09.4,9.81,6.76,0.02,6.08,0.02,5.83,0.02,0.026,1117,6,S0_1_(2),"M60, N4649",,,,II,,,Simbad,NED
4,P,4,R,881,12 26 11.74,+12 56 46.4,10.06,7.19,0.02,6.51,0.02,6.28,0.02,0.029,-244,5,S0_1_(3)/E3,"M86, N4406",C1,,,II,,Dust filaments. The surface brightness profile dips toward the center,Simbad,NED
5,P,5,R,798,12 25 24.04,+18 11 25.9,10.09,7.17,0.02,6.51,0.02,6.26,0.02,0.030,729,2,S0_1_(3) pec,"M85, N4382",C1:,,Y:,II,,"Possible dust patches. Visibly boxy within r<1"".",Simbad,NED
6,P,6,R,763,12 25 03.72,+12 53 13.2,10.26,7.26,0.02,6.59,0.02,6.35,0.02,0.041,1060,6,E1,"M84, N4374",C2,,,0,,Dust lanes; nonthermal nucleus,Simbad,NED
7,P,7,R,731,12 24 28.20,+07 19 03.0,10.51,7.71,0.02,7.03,0.02,6.80,0.02,0.021,1243,6,E3,N4365,,,,Ib,,,Simbad,NED
8,,8,R,1535,12 34 03.10,+07 41 59.0,10.61,7.55,0.02,6.79,0.02,6.55,0.02,0.021,448,8,S0_3_(6),N4526,C3,,,0,,"Dust disk; visibly boxy in the inner region, disky at large radii",Simbad,NED
9,P,9,R,1903,12 42 02.40,+11 38 48.0,10.76,7.77,0.02,7.09,0.02,6.87,0.02,0.032,410,6,E4,"M59, N4621",,Y,,Id,,Center saturated in g band; small inner stellar disk,Simbad,NED
10,P,10,R,1632,12 35 39.82,+12 33 22.6,10.78,7.78,0.02,7.09,0.02,6.86,0.02,0.041,340,4,S0_1_(0),"M89, N4552",C1,,,II,,Dust filaments/patches,Simbad,NED
11,P,11,R,1231,12 29 48.87,+13 25 45.7,11.10,8.18,0.02,7.51,0.02,7.27,0.02,0.028,2244,2,E5,N4473,,,Y:,II,,Small nuclear bar?,Simbad,NED
12,P,12,R,2095,12 52 56.00,+11 13 53.0,11.18,8.36,0.02,7.63,0.02,7.45,0.02,0.022,984,41,S0_1_(9),N4762,,,Y,Ib,,ITD?,Simbad,NED
13,P,13,R,1154,12 29 00.03,+13 58 42.9,11.37,8.19,0.01,7.49,0.01,7.21,0.01,0.045,1210,16,S0_3_(2),N4459,C3,,,Id,,Dust Disk,Simbad,NED
14,P,14,R,1062,12 28 03.90,+09 48 14.0,11.40,8.32,0.02,7.59,0.02,7.38,0.02,0.022,532,8,SB0_1_(6),N4442,,,,Id,,Evidence for distinct morphological components,Simbad,NED
15,P,15,R,2092,12 52 17.50,+11 18 50.0,11.51,8.48,0.02,7.80,0.02,7.58,0.02,0.032,1377,15,SB0_1_(5),N4754,,,,Ib,Y,,Simbad,NED
16,P,16,R,369,12 19 45.42,+12 47 54.3,11.80,8.86,0.01,8.16,0.02,7.94,0.02,0.047,1009,13,SB0_1_,N4267,,,,Ib,Y:,,Simbad,NED
17,P,17,R,759,12 24 55.50,+11 42 15.0,11.80,8.71,0.01,8.03,0.02,7.81,0.02,0.036,943,19,SB0_2_(r)(3),N4371,C4,,,II,Y,"Small nuclear dust disk; stellar rings, arcs",Simbad,NED
18,P,18,R,1692,12 36 53.40,+07 14 47.0,11.82,8.68,0.01,8.00,0.01,7.76,0.01,0.022,1730,13,S0_1_(7)/E7,N4570,,Y,Y,Ic,,Edge-on stellar ring.,Simbad,NED
19,,19,R,1030,12 27 40.49,+13 04 44.2,11.84,8.45,0.01,7.28,0.01,7.39,0.02,0.022,801,10,SB0_1_(6),N4435,C3,,Y,0,,"Dust disk. Boxy isophotes in the inner region, disky at large radii",Simbad,NED
20,P,20,R,2000,12 44 31.95,+11 11 25.1,11.94,9.14,0.01,8.47,0.01,8.25,0.01,0.034,1083,4,E3/S0_1_(3),N4660,,,Y,Id,,Center saturated in g band; visibly boxy bulge superimposed to a disk component. Possible remnant of stripped satellite present in the field.,Simbad,NED
21,P,21,R,685,12 23 57.90,+16 41 37.0,11.99,8.80,0.01,8.07,0.01,7.86,0.01,0.028,1241,19,S0_1_(8),N4350,C4,Y,Y,0,,Dust disk; disk population of GCs,Simbad,NED
22,P,22,R,1664,12 36 26.86,+11 26 20.6,12.02,8.93,0.01,8.16,0.01,8.00,0.02,0.033,1142,2,E6,N4564,,,Y,Ic,,Disky isophotes,Simbad,NED
23,P,23,R,654,12 23 35.28,+16 43 22.3,12.03,9.34,0.01,8.66,0.02,8.43,0.02,0.026,950,9,RSB0_2_(5),N4340,,,,Ib,Y,Stellar ring; possible remnant of stripped satellite present in the field,Simbad,NED
24,P,24,R,944,12 26 50.53,+09 35 02.0,12.08,9.11,0.01,8.48,0.01,8.24,0.02,0.025,843,15,S0_1_(7),N4417,,,Y,Ic,,,Simbad,NED
25,P,25,R,1938,12 42 47.40,+11 26 33.0,12.11,9.17,0.01,8.50,0.01,8.25,0.02,0.026,1164,10,S0_1_(7),N4638,,,Y,Ib,,ITD; possible spiral structure?,Simbad,NED
26,P,26,R,1279,12 30 17.39,+12 19 43.9,12.15,9.31,0.01,8.62,0.01,8.40,0.01,0.024,1349,3,E2,N4478,,Y,,Id,,,Simbad,NED
27,P,27,R,1720,12 37 30.61,+09 33 18.8,12.29,9.46,0.02,8.74,0.02,8.52,0.04,0.021,2273,12,S0_1/2_(4),N4578,,,,Ia,,,Simbad,NED
28,P,28,R,355,12 19 30.61,+14 52 41.4,12.41,9.34,0.01,8.65,0.01,8.42,0.02,0.036,1359,4,SB0_2/3_,N4262,C1,,,Id,Y,Dust filaments,Simbad,NED
29,P,29,R,1619,12 35 30.61,+12 13 15.4,12.50,9.61,0.01,8.93,0.01,8.75,0.01,0.040,381,9,E7/S0_1_(7),N4550,C1,,,Ia,,Dust filaments,Simbad,NED
30,P,30,R,1883,12 41 32.70,+07 18 53.0,12.57,9.54,0.02,8.92,0.02,8.67,0.03,0.025,1875,22,RSB0_1/2_,N4612,,,,Ia,Y,,Simbad,NED
31,P,31,R,1242,12 29 53.49,+14 04 07.0,12.60,9.70,0.01,9.04,0.01,8.79,0.02,0.042,1609,11,S0_1_(8),N4474,,,Y,Ia,,Large GC population,Simbad,NED
32,P,32,R,784,12 25 14.75,+15 36 27.2,12.67,9.74,0.01,9.06,0.02,8.87,0.02,0.024,1069,10,S0_1_(2),N4379,,,,Ia,,Visible isophotal twists,Simbad,NED
33,P,33,R,1537,12 34 06.10,+11 19 17.0,12.70,9.94,0.01,9.22,0.02,9.04,0.02,0.046,1374,10,SB0_2_(5),N4528,,,,Id,Y,ITD? Small GC system,Simbad,NED
34,P,34,R,778,12 25 12.27,+14 45 43.8,12.72,9.80,0.01,9.12,0.01,8.89,0.02,0.038,1375,11,S0_1_(3),N4377,,,,Id,Y,,Simbad,NED
35,P,35,R,1321,12 30 52.21,+16 45 32.6,12.84,10.42,0.02,9.77,0.03,9.54,0.03,0.028,967,6,S0_1_(1),N4489,,,,Id,,Visible isophotal twists,Simbad,NED
36,P,36,R,828,12 25 41.70,+12 48 38.0,12.84,10.13,0.01,9.44,0.02,9.23,0.02,0.033,561,15,E5,N4387,,,,Ia,,Visibly boxy,Simbad,NED
37,P,37,R,1250,12 29 59.10,+12 20 55.0,12.91,10.49,0.01,9.83,0.02,9.57,0.02,0.028,1970,11,S0_3_(5),N4476,C3,,,Ia,,Dust disk,Simbad,NED
38,P,38,R,1630,12 35 37.97,+12 15 50.5,12.91,9.87,0.01,9.20,0.02,8.95,0.02,0.039,1172,6,E2,N4551,,Y,,Ia,,,Simbad,NED
39,P,39,R,1146,12 28 57.56,+13 14 30.8,12.93,10.34,0.02,9.68,0.02,9.45,0.02,0.023,635,6,E1,N4458,,Y,,Ia,,,Simbad,NED
40,P,40,R,1025,12 27 36.71,+08 09 14.8,13.06,10.17,0.02,9.52,0.02,9.30,0.03,0.022,1071,6,E0/S0_1_(0),N4434,,,,Ic,,,Simbad,NED
41,P,41,R,1303,12 30 40.64,+09 00 55.9,13.10,10.27,0.02,9.61,0.03,9.40,0.04,0.020,875,10,SB0_1_(5),N4483,,,,Ib,,Spiral arms,Simbad,NED
42,P,42,R,1913,12 42 10.70,+07 40 37.0,13.22,10.43,0.02,9.78,0.02,9.57,0.04,0.022,1892,37,E7,N4623,,Y,Y,Ia,,Distinct morphological components,Simbad,NED
43,P,43,R,1327,12 30 57.56,+12 16 17.2,13.26,9.86,0.01,9.28,0.01,9.07,0.01,0.023,150,45,E2,N4486A,C4,Y,,II,,Dust disk. Tidally truncated by interaction with M87,Simbad,NED
44,P,44,R,1125,12 28 43.37,+11 45 21.0,13.30,10.19,0.02,9.37,0.02,9.19,0.03,0.030,195,47,S0_1_(9),N4452,,Y,Y,Ia,,ITD?,Simbad,NED
45,P,45,R,1475,12 33 04.95,+16 15 55.9,13.36,10.83,0.01,10.20,0.02,10.01,0.03,0.031,951,11,E2,N4515,,Y,,Ib,,,Simbad,NED
46,P,46,R,1178,12 29 21.30,+08 09 23.0,13.37,10.51,0.02,9.85,0.02,9.64,0.03,0.022,1243,2,E3,N4464,,,,Ib,,,Simbad,NED
47,P,47,R,1283,12 30 18.40,+13 34 40.9,13.45,10.79,0.02,10.15,0.03,9.91,0.04,0.029,876,10,SB0_2_(2),N4479,,,,Ia,Y:,,Simbad,NED
48,P,48,R,1261,12 30 10.39,+10 46 46.1,13.56,11.69,0.04,11.11,0.06,10.89,0.09,0.029,1871,16,"d:E5,N",N4482,,,,Ia,,,Simbad,NED
49,P,49,R,698,12 24 05.00,+11 13 06.0,13.60,10.85,0.03,10.22,0.03,10.02,0.05,0.026,2080,10,S0_1_(8),N4352,,Y,Y,Ia,,,Simbad,NED
50,P,50,R,1422,12 32 14.21,+10 15 05.0,13.64,11.83,0.04,11.23,0.06,11.05,0.10,0.031,1288,10,"E1,N:",I3468,C1:,,,Ia,,Possible large-scale dust filaments,Simbad,NED
51,P,51,R,2048,12 47 15.32,+10 12 13.0,13.81,11.95,0.03,11.31,0.04,11.14,0.08,0.032,1084,12,d:S0(9),I3773,,,Y,Ia,,,Simbad,NED
52,P,52,R,1871,12 41 15.72,+11 23 13.5,13.86,11.58,0.03,10.92,0.03,10.68,0.06,0.030,567,10,E3,I3653,,,,Ia,,,Simbad,NED
53,P,53,R,9,12 09 22.34,+13 59 33.1,13.93,,,,,,,0.039,1804,49,"dE1,N",I3019,,,,Ie,,Low surface brightness,Simbad,NED
54,P,54,R,575,12 22 43.31,+08 11 53.7,14.14,11.33,0.02,10.63,0.03,10.42,0.04,0.025,1231,9,E4,N4318,,Y,Y,Id,,ITD or stellar ring,Simbad,NED
55,P,55,R,1910,12 42 08.69,+11 45 14.9,14.17,11.81,0.05,11.07,0.06,10.78,0.09,0.031,206,26,"dE1,N",I809,,,,Ia,,,Simbad,NED
56,P,56,R,1049,12 27 54.86,+08 05 25.2,14.20,12.87,0.07,12.24,0.09,11.97,0.13,0.022,716,36,S0(4),U7580,,,,II,,,Simbad,NED
57,P,57,R,856,12 25 57.81,+10 03 12.8,14.25,12.47,0.06,11.77,0.07,11.66,0.13,0.024,1025,10,"dE1,N",I3328,,,,Ia,,Dwarf spiral,Simbad,NED
58,P,58,R,140,12 15 12.58,+14 25 59.1,14.30,11.97,0.03,11.32,0.04,11.20,0.06,0.037,1072,46,S0_1/2_(4),I3065,,,,Ia,,,Simbad,NED
59,P,59,R,1355,12 31 20.04,+14 06 53.5,14.31,,,,,,,0.034,1332,63,"dE2,N",I3442,,,,Ia,,,Simbad,NED
60,P,60,R,1087,12 28 14.90,+11 47 24.0,14.31,12.25,0.05,11.61,0.07,11.49,0.12,0.027,675,12,"dE3,N",I3381,,,,Ia,,,Simbad,NED
61,P,61,R,1297,12 30 31.85,+12 29 26.0,14.33,11.08,0.01,10.34,0.02,10.13,0.02,0.021,1555,4,E1,N4486B,,,,Id,,Tidally truncated by interaction with M87,Simbad,NED
62,P,62,R,1861,12 40 58.54,+11 11 04.4,14.37,12.34,0.05,11.71,0.06,11.55,0.11,0.029,470,39,"dE0,N",I3652,,,,Ia,,,Simbad,NED
63,P,63,R,543,12 22 19.55,+14 45 38.6,14.39,12.71,0.04,12.08,0.06,11.93,0.09,0.031,985,12,dE5,U7436,,,,Ia,,,Simbad,NED
64,P,64,R,1431,12 32 23.37,+11 15 46.2,14.51,12.18,0.04,11.53,0.05,11.30,0.08,0.051,1500,38,"dE0,N",I3470,,,,Ia,,,Simbad,NED
