recno,ACSVCS,R,f_ACSVCS,Mod,mug,gam.g,n.g,reg,rbg,rhg,gmag,muz,gam.z,n.z,rez,rbz,rhz,zmag,reg.g,mug.g,<mug>,<eg>,e_<eg>,<B4g>,e_<B4g>,<PAg>,e_<PAg>,gmag.g,g-z,e_g-z,rez.g,muz.g,<muz>,<ez>,e_<ez>,<B4z>,e_<B4z>,<PAz>,e_<PAz>,zmag.g,RAJ2000,DEJ2000
1,1,R,,cS,23.51,0.086,5.503,208.01,1.94,,,21.98,0.093,5.626,211.38,1.86,,,209.15,,21.96,0.09,0.02,-0.002,0.002,-19.9,2.8,8.37,1.60,0.03,212.51,,20.42,0.09,0.02,-0.003,0.003,-18.9,2.1,6.79,12 29 46.74,+08 00 01.463
2,2,R,,cS,23.45,0.322,6.094,163.83,7.15,,,21.86,0.309,6.021,164.18,6.60,,,171.71,,21.96,0.02,0.04,0.001,0.007,46.1,37.1,8.79,1.60,0.04,170.74,,20.35,0.02,0.01,0.001,0.007,15.8,36.7,7.19,12 30 49.42,+12 23 28.350
3,3,R,,cS,22.52,0.206,4.766,98.16,2.56,,,20.90,0.203,4.854,98.48,2.52,,,99.34,22.83,21.06,0.11,0.04,-0.004,0.003,-83.6,4.4,9.08,1.62,0.02,100.05,21.21,19.45,0.11,0.05,-0.004,0.004,-83.4,3.6,7.45,12 43 40.08,+11 33 09.230
4,4,R,,cS,25.29,0.021,7.016,411.84,0.72,,,23.90,0.021,7.316,440.99,0.73,,,411.84,,23.60,0.19,0.02,-0.005,0.006,-57.2,4.9,8.53,1.57,0.05,440.99,,22.19,0.19,0.02,-0.005,0.006,-57.2,4.9,6.97,12 26 11.76,+12 56 46.060
5,5,R,,cS,23.90,0.224,6.813,170.82,0.62,,,22.35,0.230,6.397,160.68,0.60,,,170.82,,22.23,0.24,0.04,0.007,0.006,30.2,1.1,9.07,1.38,0.03,160.68,,20.70,0.23,0.03,0.008,0.005,30.0,0.8,7.68,12 25 24.06,+18 11 28.880
6,6,R,,cS,23.70,0.302,7.337,146.97,1.85,,,22.28,0.307,7.777,155.47,1.88,,,149.73,,22.03,0.18,0.02,-0.002,0.012,-51.8,7.2,9.16,1.56,0.01,158.16,,20.58,0.18,0.02,-0.003,0.012,-52.5,7.0,7.59,12 25 03.71,+12 53 12.890
7,7,R,,cS,23.61,0.235,5.871,115.39,1.35,,,22.22,0.239,6.287,122.69,1.36,,,116.14,,22.04,0.25,0.03,-0.002,0.008,43.9,0.5,9.72,1.53,0.05,124.16,,20.61,0.25,0.04,-0.001,0.006,43.8,0.4,8.15,12 24 28.35,+07 19 04.060
8,9,R,,S,23.61,,6.852,106.75,,,,22.44,,7.843,126.44,,,,106.75,23.99,21.93,0.34,0.02,0.028,0.010,-16.8,0.2,9.79,1.53,0.04,126.44,,20.69,0.35,0.02,0.028,0.009,-16.3,0.6,8.18,12 42 02.31,+11 38 48.730
9,10,R,,cS,23.27,0.252,7.088,85.12,0.65,,,21.72,0.299,7.604,84.37,0.75,,,85.93,23.58,21.61,0.05,0.01,0.001,0.002,-60.7,2.6,9.94,1.61,0.04,85.99,22.08,20.03,0.05,0.01,0.002,0.001,-59.8,1.9,8.36,12 35 39.83,+12 33 21.240
10,11,R,,S,20.32,,2.955,16.89,,,,19.01,,3.222,18.64,,,,16.89,20.55,19.09,0.43,0.04,0.014,0.007,-86.3,0.2,10.95,1.53,0.01,18.64,19.23,17.72,0.43,0.03,0.014,0.006,-86.3,0.2,9.38,12 29 48.86,+13 25 45.530
11,12,R,,S,20.37,,3.280,11.87,,,,19.33,,3.962,14.29,,,,11.87,20.45,19.08,0.34,0.04,0.030,0.014,30.3,0.3,11.71,1.44,0.01,14.29,19.46,17.94,0.35,0.05,0.027,0.012,30.1,0.3,10.17,12 52 56.04,+11 13 51.860
12,13,R,,S,21.63,,4.918,28.15,,,,20.17,,5.070,29.50,,,,28.15,21.60,20.14,0.14,0.03,0.003,0.014,-73.6,16.0,10.89,1.54,0.01,29.50,20.04,18.65,0.15,0.02,0.003,0.017,-73.9,16.5,9.31,12 29 00.09,+13 58 42.170
13,14,R,,S,20.49,,3.291,16.92,,,,18.65,,3.146,14.21,,,,16.92,20.51,19.20,0.27,0.06,-0.002,0.006,86.8,0.7,11.06,1.53,0.01,14.21,18.69,17.38,0.28,0.07,-0.001,0.007,86.5,1.0,9.62,12 28 03.90,+09 48 13.879
14,15,R,,S,21.47,,4.279,24.13,,,,20.45,,5.091,31.45,,,,24.13,,20.04,0.19,0.02,0.005,0.008,71.2,69.0,11.13,1.50,0.01,31.45,20.72,18.92,0.20,0.02,0.006,0.009,70.0,68.8,9.44,12 52 17.50,+11 18 50.190
15,16,R,,S,19.89,,2.645,7.93,,,,18.30,,2.761,7.74,,,,7.93,20.09,18.71,0.06,0.03,0.008,0.008,-5.2,37.9,12.22,1.57,0.01,7.74,18.36,17.10,0.06,0.04,0.009,0.008,-5.5,37.7,10.66,12 19 45.26,+12 47 53.470
16,17,R,,S,21.71,,3.245,26.18,,,,20.29,,3.538,27.27,,,,26.18,21.65,20.43,0.31,0.04,-0.004,0.016,-88.0,0.6,11.34,1.54,0.01,27.27,20.20,18.96,0.32,0.04,-0.005,0.016,-88.4,0.7,9.79,12 24 55.37,+11 42 15.970
17,18,R,,S,19.68,,2.458,9.50,,,,18.19,,2.735,9.34,,,,9.50,19.76,18.54,0.35,0.09,0.000,0.007,-21.7,0.3,11.65,1.53,0.01,9.34,18.19,17.00,0.36,0.09,-0.002,0.007,-21.1,1.0,10.15,12 36 53.46,+07 14 46.355
18,20,R,,S,20.19,,3.977,10.45,,,,18.60,,4.458,9.44,,,,10.45,20.15,18.80,0.40,0.04,0.005,0.009,-84.9,2.2,11.71,1.51,0.01,9.44,18.51,17.14,0.40,0.03,0.004,0.009,-85.3,2.1,10.27,12 44 31.97,+11 11 25.050
19,21,R,,S,20.23,,3.170,11.91,,,,18.61,,3.215,11.20,,,,11.91,20.47,18.96,0.36,0.08,0.012,0.016,28.1,0.3,11.59,1.55,0.01,11.20,18.83,17.33,0.36,0.07,0.011,0.016,28.1,0.3,10.09,12 23 57.84,+16 41 36.290
20,22,R,,S,21.00,,3.982,15.76,,,,19.52,,4.332,15.91,,,,15.76,20.98,19.61,0.34,0.07,0.000,0.004,46.8,0.6,11.63,1.54,0.01,15.91,19.62,18.09,0.34,0.07,-0.002,0.005,46.2,1.1,10.08,12 36 27.02,+11 26 20.120
