recno,ACSVCS,VCC,OName,Dist,Bmag,sigma,e_sigma,r_sigma,logMBH,l_logLx,logLx,r_logLx,logM*,Simbad,NED,_RA,_DE
1,1,1226,"M49,N4472",17.14,8.63,308,9,,9.1,<,38.49,"3,4",12.0,Simbad,NED,187.44499,8.00041
2,2,1316,"M87,N4486",17.22,9.05,355,8,,9.4,,41.20,"5,6",11.8,Simbad,NED,187.70593,12.39112
3,3,1978,"M60,N4649",17.30,9.33,347,9,,9.4,,39.05,7,11.7,Simbad,NED,190.91670,11.55261
4,4,881,"M86,N4406",16.83,8.77,245,11,,8.6,<,38.64,,11.9,Simbad,NED,186.54922,12.94597
5,5,798,"M85,N4382",17.86,9.30,205,8,,8.3,<,38.43,8,11.6,Simbad,NED,186.35022,18.19108
6,6,763,"M84,N4374",18.45,9.35,297,7,,9.1,,39.73,9,11.7,Simbad,NED,186.26560,12.88698
7,7,731,N4365,23.33,9.99,261,7,,8.8,,39.00,8,11.7,Simbad,NED,186.11762,7.31752
8,8,1535,N4526,16.50,10.52,316,7,,9.2,<,38.21,,11.0,Simbad,NED,188.51262,7.69914
9,9,1903,"M59,N4621",14.93,10.02,233,7,,8.5,,39.11,,11.3,Simbad,NED,190.50967,11.64693
10,10,1632,"M89,N4552",15.85,10.13,257,18,,8.7,,39.58,10,11.3,Simbad,NED,188.91618,12.55604
11,11,1231,N4473,15.28,11.19,189,10,,8.1,,38.60,14,10.8,Simbad,NED,187.45366,13.42932
12,12,2095,N4762,16.50,11.97,147,10,1,7.6,,38.71,,10.6,Simbad,NED,193.23354,11.23080
13,13,1154,N4459,16.07,11.07,170,12,,7.9,,39.03,11,10.9,Simbad,NED,187.25011,13.97858
14,14,1062,N4442,15.28,11.32,197,15,,8.2,,38.47,,10.7,Simbad,NED,187.01622,9.80362
15,15,2092,N4754,16.14,11.36,200,10,1,8.2,,38.59,,10.9,Simbad,NED,193.07318,11.31366
16,16,369,N4267,15.85,12.39,165,11,,7.8,,39.26,,10.4,Simbad,NED,184.93867,12.79836
17,17,759,N4371,16.98,11.55,129,6,,7.3,<,38.18,,10.8,Simbad,NED,186.23096,11.70429
18,18,1692,N4570,17.06,11.91,180,18,,8.0,,38.45,,10.6,Simbad,NED,189.22250,7.24666
19,19,1030,N4435,16.75,11.75,174,16,,7.9,,38.72,,10.8,Simbad,NED,186.91876,13.07902
20,20,2000,N4660,15.00,11.93,203,5,,8.3,,38.65,,10.4,Simbad,NED,191.13321,11.19053
21,21,685,N4350,16.50,11.83,198,9,,8.2,,39.14,12,10.6,Simbad,NED,185.99089,16.69336
22,22,1664,N4564,15.85,11.85,157,9,,7.7,,39.95,13,10.6,Simbad,NED,189.11247,11.43932
23,23,654,N4340,16.50,12.22,112,3,,7.0,<,38.46,,10.4,Simbad,NED,185.89714,16.72219
24,24,944,N4417,16.00,12.06,125,4,,7.2,<,38.53,,10.4,Simbad,NED,186.71094,9.58412
25,25,1938,N4638,17.46,12.01,132,10,,7.3,,38.97,,10.5,Simbad,NED,190.69763,11.44246
26,26,1279,N4478,16.98,12.21,147,6,,7.6,<,38.73,,10.5,Simbad,NED,187.57266,12.32858
27,27,1720,N4578,16.29,12.01,153,15,,7.7,<,38.54,,10.4,Simbad,NED,189.37727,9.55512
28,28,355,N4262,15.42,12.29,179,22,,8.0,,38.77,,10.3,Simbad,NED,184.87742,14.87772
29,29,1619,N4550,15.49,12.37,93,5,,6.6,,38.68,,10.2,Simbad,NED,188.87755,12.22096
30,30,1883,N4612,16.60,12.01,104,11,1,6.8,,38.35,,10.4,Simbad,NED,190.38649,7.31478
31,31,1242,N4474,15.56,12.38,93,7,,6.6,<,38.50,,10.3,Simbad,NED,187.47310,14.06867
32,32,784,N4379,15.85,12.44,103,5,,6.8,,38.62,,10.3,Simbad,NED,186.31139,15.60750
33,33,1537,N4528,15.85,12.73,112,9,,7.0,,38.52,,10.1,Simbad,NED,188.52502,11.32192
34,34,778,N4377,17.78,12.87,139,17,,7.5,,38.56,,10.2,Simbad,NED,186.30128,14.76222
35,35,1321,N4489,15.42,12.51,,,,7.7,<,38.33,,10.1,Simbad,NED,187.71767,16.75870
36,36,828,N4387,17.95,12.93,99,4,,6.7,<,38.63,,10.2,Simbad,NED,186.42381,12.81036
37,37,1250,N4476,17.62,12.63,,,,7.8,,38.73,,10.2,Simbad,NED,187.49617,12.34867
38,38,1630,N4551,16.14,12.74,102,5,,6.8,<,38.29,,10.2,Simbad,NED,188.90825,12.26401
39,39,1146,N4458,16.37,12.95,110,8,,7.0,<,38.33,,10.0,Simbad,NED,187.23972,13.24192
40,40,1025,N4434,22.44,12.87,119,6,,7.1,,38.92,,10.4,Simbad,NED,186.90283,8.15431
41,41,1303,N4483,16.75,12.94,106,10,,6.9,<,38.15,,10.1,Simbad,NED,187.66925,9.01566
42,42,1913,N4623,17.38,13.16,89,10,1,6.5,<,38.46,,10.1,Simbad,NED,190.54460,7.67693
43,43,1327,N4486A,18.28,13.25,,,,7.6,,38.68,,10.1,Simbad,NED,187.74054,12.27036
44,44,1125,N4452,16.50,13.07,114,7,,7.0,<,38.46,,9.9,Simbad,NED,187.18045,11.75503
45,45,1475,N4515,16.60,13.28,91,10,,6.6,<,38.34,,9.9,Simbad,NED,188.27060,16.26549
46,46,1178,N4464,15.85,13.32,121,25,2,7.2,,38.66,,9.9,Simbad,NED,187.33880,8.15656
47,47,1283,N4479,17.38,13.25,82,7,,6.3,,38.54,,10.1,Simbad,NED,187.57643,13.57747
48,48,1261,N4482,18.11,13.52,45,0,,5.1,<,38.42,,9.8,Simbad,NED,187.54307,10.77948
49,49,698,N4352,18.71,13.28,85,8,,6.4,<,38.44,,10.0,Simbad,NED,186.02092,11.21802
50,50,1422,I3468,15.35,13.82,,,,7.2,<,38.08,,9.6,Simbad,NED,188.05920,10.25154
51,51,2048,I3773,16.50,14.04,79,5,,6.3,<,38.12,,9.6,Simbad,NED,191.81360,10.20344
52,52,1871,I3653,15.49,14.36,,,,6.9,<,38.08,,9.5,Simbad,NED,190.31550,11.38718
53,53,9,I3019,17.14,14.01,,,,7.2,<,38.15,,9.7,Simbad,NED,182.34300,13.99250
54,54,575,N4318,22.08,11.69,95,4,,6.6,<,38.39,,10.8,Simbad,NED,185.68042,8.19837
55,55,1910,I809,16.07,14.34,,,,7.0,<,38.30,,9.5,Simbad,NED,190.53609,11.75443
56,56,1049,U7580,16.00,14.93,,,,6.7,<,38.08,,9.0,Simbad,NED,186.97847,8.09047
57,57,856,I3328,16.83,14.50,34,1,,4.5,<,38.16,,9.5,Simbad,NED,186.49152,10.05371
58,58,140,I3065,16.37,14.28,,,,7.0,<,38.13,,9.4,Simbad,NED,183.80226,14.43285
59,59,1355,I3442,16.90,14.65,,,,6.9,,38.58,,9.4,Simbad,NED,187.83413,14.11519
60,60,1087,I3381,16.67,14.11,38,1,,4.8,<,38.15,,9.6,Simbad,NED,187.06189,11.78991
61,61,1297,N4486B,16.29,14.15,166,8,,7.8,,38.42,13,9.7,Simbad,NED,187.63327,12.49024
62,62,1861,I3652,16.14,14.45,,,,6.9,<,38.12,,9.5,Simbad,NED,190.24411,11.18441
63,63,543,U7436,15.70,14.34,27,0,,4.1,<,38.27,,9.4,Simbad,NED,185.58137,14.76059
64,64,1431,I3470,16.14,14.44,,,,6.9,<,38.66,,9.5,Simbad,NED,188.09730,11.26321
65,65,1528,I3501,16.29,14.57,,,,6.9,<,38.13,,9.3,Simbad,NED,188.46502,13.32260
66,66,1695,I3586,16.52,14.40,,,,7.0,<,38.14,,9.5,Simbad,NED,189.22857,12.52014
67,67,1833,,16.22,14.66,,,,6.9,<,38.11,,9.3,Simbad,NED,190.08188,15.93527
68,68,437,U7399A,17.14,14.05,,,,7.2,<,38.17,,9.6,Simbad,NED,185.20315,17.48726
69,69,2019,I3735,17.06,14.68,,,,6.9,<,38.17,,9.4,Simbad,NED,191.33490,13.69271
70,70,33,I3032,15.07,15.23,,,,6.6,<,38.25,,8.9,Simbad,NED,182.78235,14.27505
71,71,200,,18.20,15.01,,,,6.8,<,38.42,,9.2,Simbad,NED,184.14038,13.03124
72,72,571,,23.77,15.02,,,,7.1,<,38.46,,9.4,Simbad,NED,185.67146,7.95031
73,73,21,I3025,16.50,15.04,,,,6.7,<,38.11,,9.0,Simbad,NED,182.59662,10.18851
74,74,1488,I3487,16.50,15.03,28,0,,4.1,<,38.14,,9.0,Simbad,NED,188.30667,9.39716
75,75,1779,I3612,16.50,14.97,,,,6.7,<,38.14,,9.0,Simbad,NED,189.76935,14.72936
76,76,1895,U7854,15.85,15.15,,,,6.6,<,38.10,,9.0,Simbad,NED,190.46661,9.40283
77,77,1499,I3492,16.50,15.15,,,,6.7,,38.42,,8.8,Simbad,NED,188.33238,12.85355
78,78,1545,I3509,16.83,14.95,,,,6.8,<,38.16,,9.2,Simbad,NED,188.54819,12.04886
79,79,1192,N4467,16.50,14.74,83,10,,6.4,<,38.68,,9.5,Simbad,NED,187.37611,7.99295
80,80,1857,I3647,16.50,15.06,,,,6.7,<,38.14,,9.0,Simbad,NED,190.21952,10.47653
81,81,1075,I3383,16.14,15.20,,,,6.6,<,38.12,,9.2,Simbad,NED,187.05155,10.29769
82,82,1948,,16.50,15.76,,,,6.4,<,38.14,,8.8,Simbad,NED,190.74175,10.68181
83,83,1627,,15.63,15.31,,,,6.6,<,38.34,,9.1,Simbad,NED,188.90514,12.38207
84,84,1440,I798,16.00,14.90,,,,6.7,<,38.27,,9.2,Simbad,NED,188.13916,15.41549
85,85,230,I3101,17.78,15.68,,,,6.5,<,38.62,,8.9,Simbad,NED,184.33194,11.94360
86,86,2050,I3779,15.78,15.37,,,,6.5,<,38.10,,9.0,Simbad,NED,191.83450,12.16655
87,87,1993,,16.52,15.79,,,,6.4,<,38.14,,9.0,Simbad,NED,191.04992,12.94184
88,88,751,I3292,15.78,14.86,,,,6.7,<,38.29,,9.4,Simbad,NED,186.20154,18.19508
89,89,1828,I3635,16.83,15.29,,,,6.6,<,38.16,,9.1,Simbad,NED,190.05556,12.87499
90,90,538,N4309A,22.91,16.17,,,,6.5,<,38.41,,8.9,Simbad,NED,185.56125,7.16717
91,91,1407,I3461,16.75,15.25,,,,6.6,<,38.35,,9.1,Simbad,NED,188.01145,11.88977
92,92,1886,,16.50,15.50,,,,6.5,<,38.14,,8.8,Simbad,NED,190.41422,12.24740
93,93,1199,,16.50,16.00,,,,6.3,<,38.14,,9.0,Simbad,NED,187.39577,8.05795
94,94,1743,I3602,17.62,15.73,,,,6.5,<,38.20,,8.9,Simbad,NED,189.52957,10.08256
95,95,1539,,16.90,15.36,,,,6.6,<,38.16,,8.9,Simbad,NED,188.52808,12.74160
96,96,1185,,16.90,15.50,,,,6.5,<,38.36,,9.1,Simbad,NED,187.34807,12.45056
97,97,1826,I3633,16.22,15.78,,,,6.4,<,38.12,,8.8,Simbad,NED,190.04687,9.89595
98,98,1512,,18.37,13.92,,,,7.3,<,38.23,,9.2,Simbad,NED,188.39439,11.26195
99,99,1489,I3490,16.50,16.10,,,,6.3,<,38.14,,8.7,Simbad,NED,188.30792,10.92854
100,100,1661,,15.85,14.80,,,,6.8,<,38.12,,9.0,Simbad,NED,189.10325,10.38465
