recno,Name,f_Name,Dist,e_Dist,logBHMass,E_logBHMass,e_logBHMass,logsigma,e_logsigma,logLk,e_logLk,logRe,e_logRe,cov,C28,e_C28,logAGN,e_logAGN,Meth,Refs,SimbadName,NED,_RA,_DE
1,1RXSJ1858+4850,2,338.3,,6.68,0.19,0.19,,,,,,,,,,,,reverb,107,1RXS J185800.9+485020,NED,284.50463,48.83983
2,H0507+164,2,76.6,,6.69,0.36,0.36,,,,,,,,,,,,reverb,110,H0507+164,NED,77.68975,16.49949
3,M60UCD1,2,16.5,,7.30,0.15,0.15,1.82,0.03,8.29,,-1.62,,,,,,,star,109,NAME M60-UCD1,NED,190.89985,11.53464
4,MW,2,0.0,,6.63,0.05,0.05,2.00,0.09,,,,,,,,,,star,"104,105",,NED,,
5,Mrk0006,2,80.6,8.1,8.09,0.15,0.15,,,11.11,0.09,0.66,0.08,0.06,6.0,0.6,10.99,0.01,reverb,102,Mrk0006,NED,103.05135,74.42701
6,Mrk0142,2,192.5,,6.27,0.21,0.21,,,,,,,,,,,,reverb,103,Mrk0142,NED,156.38038,51.67636
7,Mrk0290,2,126.7,,7.26,0.17,0.17,,,,,,,,,,,,reverb,24,Mrk0290,NED,233.96842,57.90264
8,Mrk0335,2,110.5,,7.21,0.16,0.16,,,,,,,,,,,,reverb,103,Mrk0335,NED,1.58159,20.20294
9,Mrk1029,2,124.0,,6.28,0.13,0.13,2.12,0.05,,,,,,,,,,maser,34,Mrk1029,NED,34.26489,5.29195
10,Mrk1501,2,382.6,,8.03,0.26,0.26,,,,,,,,,,,,reverb,106,Mrk1501,NED,2.62919,10.97486
11,NGC0224,2,0.8,,8.15,0.16,0.16,2.20,0.02,10.69,,0.22,,,,,,,star,98,NGC0224,NED,10.68471,41.26875
12,NGC0300,2,2.2,,2.00,3.00,2.00,1.11,0.07,9.45,,0.30,,,,,,,star,61,NGC0300,NED,13.72283,-37.68438
13,NGC4244,2,4.4,,0.00,5.66,0.00,1.45,0.15,9.50,,0.37,,,,,,,star,100,NGC4244,NED,184.37358,37.80711
14,NGC4395,2,4.4,,5.54,0.54,0.54,1.47,0.07,8.61,,0.01,,,,,,,gas,101,NGC4395,NED,186.45384,33.54675
15,NGC6264,2,147.6,,7.49,0.05,0.05,2.20,0.04,11.17,,0.96,,,,,,,maser,52,NGC6264,NED,254.31712,27.84964
16,NGC7793,2,3.3,,3.70,2.20,3.70,1.39,0.07,9.61,,0.22,,,,,,,star,61,NGC7793,NED,359.45761,-32.59103
17,PG0026+129,2,608.2,,8.46,0.22,0.22,,,,,,,,,,,,reverb,71,PG0026+129,NED,7.30709,13.26775
18,PG0052+251,2,661.5,,8.44,0.20,0.20,,,,,,,,,,,,reverb,71,PG0052+251,NED,13.71721,25.42748
19,PG0804+761,2,428.3,,8.72,0.16,0.16,,,,,,,,,,,,reverb,71,PG0804+761,NED,122.74445,76.04513
20,PG0953+414,2,1003.0,,8.31,0.21,0.21,,,,,,,,,,,,reverb,71,PG0953+414,NED,149.21830,41.25616
21,PG1226+023,2,678.1,,8.81,0.21,0.21,,,,,,,,,,,,reverb,71,PG1226+023,NED,187.27790,2.05241
22,PG1229+204,2,269.9,,7.72,0.31,0.31,2.20,0.09,,,,,,,,,,reverb,71,PG1229+204,NED,188.01510,20.15831
23,PG1307+085,2,663.8,,8.49,0.24,0.24,,,,,,,,,,,,reverb,71,PG1307+085,NED,197.44583,8.33007
24,PG1411+442,2,383.7,,8.50,0.26,0.26,2.32,0.06,,,,,,,,,,reverb,71,PG1411+442,NED,213.45137,44.00391
25,PG1426+015,2,370.8,,8.96,0.25,0.25,2.34,0.03,,,,,,,,,,reverb,71,PG1426+015,NED,217.27731,1.28513
26,PG1613+658,2,552.5,,8.27,0.33,0.33,,,,,,,,,,,,reverb,71,PG1613+658,NED,243.48836,65.71963
27,PG1617+175,2,481.6,,8.63,0.22,0.22,2.30,0.08,,,,,,,,,,reverb,71,PG1617+175,NED,245.04700,17.40767
28,PG1700+518,2,1251.0,,8.76,0.21,0.21,,,,,,,,,,,,reverb,71,PG1700+518,NED,255.35342,51.82233
29,PG2130+099,2,269.7,,7.41,0.17,0.17,2.21,0.05,,,,,,,,,,reverb,106,PG2130+099,NED,323.11590,10.13869
30,Zw229-015,2,119.4,,6.88,0.21,0.21,,,,,,,,,,,,reverb,97,Z 229-015,NED,286.35803,42.46107
31,NGC3227,3,23.8,2.6,6.75,0.21,0.21,1.96,0.03,11.21,0.12,1.03,0.13,0.06,4.9,0.4,9.51,0.12,reverb,24,NGC3227,NED,155.87737,19.86508
32,NGC4151,3,20.0,2.8,7.54,0.16,0.16,1.99,0.01,11.00,0.11,0.62,0.12,0.08,7.1,0.4,10.23,0.03,reverb,99,NGC4151,NED,182.63572,39.40580
33,NGC4395,3,4.4,,5.43,0.25,0.25,1.47,0.07,8.61,,0.01,,,,,,,reverb,108,NGC4395,NED,186.45384,33.54675
