ACSVCS,VCC,OName,logM*,active,logLx,Re_kpc,compactness,<muz>,n.z
1,1226,"M49,N4472",12.0,0,38.49,17.565057587476836,9.510700844048788,20.42,5.626
2,1316,"M87,N4486",11.8,1,41.2,13.706553490337855,9.526143469457788,20.35,6.021
3,1978,"M60,N4649",11.7,1,39.05,8.25979007761041,9.866061980248809,19.45,4.854
4,881,"M86,N4406",11.9,0,38.64,35.982200914628784,8.787824551583778,22.19,7.316
5,798,"M85,N4382",11.6,0,38.43,13.91291540332949,9.313163711128595,20.7,6.397
6,763,"M84,N4374",11.7,1,39.73,13.906499863887369,9.413564328237298,20.58,7.777
7,731,N4365,11.7,1,39.0,13.877101731892248,9.415402455842827,20.61,6.287
8,1535,N4526,11.0,0,38.21,,,,
9,1903,"M59,N4621",11.3,1,39.11,9.152066386635816,9.376961676567785,20.69,7.843
10,1632,"M89,N4552",11.3,1,39.58,6.483241248621031,9.676415635030967,20.03,7.604
11,1231,N4473,10.8,1,38.6,1.3808424480267316,10.519711741837652,17.72,3.222
12,2095,N4762,10.6,1,38.71,1.1431179380041194,10.483817920343165,17.94,3.962
13,1154,N4459,10.9,1,39.03,2.2983319773519217,10.177174480869905,18.65,5.07
14,1062,N4442,10.7,1,38.47,1.0526701280289623,10.655415402018637,17.38,3.146
15,2092,N4754,10.9,1,38.59,2.460928789722438,10.11780190601824,18.92,5.091
16,369,N4267,10.4,1,39.26,0.5947645758483676,10.851309811879593,17.1,2.761
17,759,N4371,10.8,0,38.18,2.244903570438926,10.097604618653792,18.96,3.538
18,1692,N4570,10.6,1,38.45,0.772504058734659,10.824198460229724,17.0,2.735
19,1030,N4435,10.8,1,38.72,,,,
20,2000,N4660,10.4,1,38.65,0.686496172451103,10.726723759645418,17.14,4.458
21,685,N4350,10.6,1,39.14,0.8959356826904223,10.695446332584742,17.33,3.215
22,1664,N4564,10.6,1,39.95,1.2225716281327557,10.425451373952216,18.09,4.332
23,654,N4340,10.4,0,38.46,1.662280668420266,9.95859129148279,19.12,4.032
24,944,N4417,10.4,0,38.53,0.9005898940290741,10.490945861563922,17.71,3.356
25,1938,N4638,10.5,1,38.97,1.1309035421222458,10.393148871334763,18.01,4.116
26,1279,N4478,10.5,0,38.73,0.9886795702593144,10.509888879731239,17.86,2.159
27,1720,N4578,10.4,0,38.54,2.1497307663276755,9.735231856001269,19.6,4.466
28,355,N4262,10.3,1,38.77,0.6601155208072087,10.660760111767907,17.31,3.692
29,1619,N4550,10.2,1,38.68,0.749474439254594,10.450486348259764,17.84,1.662
30,1883,N4612,10.4,1,38.35,2.0135863580258584,9.792059479558006,19.39,4.575
31,1242,N4474,10.3,0,38.5,1.2575349363733324,10.100959881389569,18.83,3.363
32,784,N4379,10.3,1,38.62,1.050443378791626,10.257254704109734,18.47,3.006
33,1537,N4528,10.1,1,38.52,0.6085963101704227,10.531341370066391,17.61,2.883
34,778,N4377,10.2,1,38.56,0.4473773382816199,10.898652037387613,16.84,3.036
35,1321,N4489,10.1,0,38.33,2.2427480888127134,9.398439009483717,20.43,5.797
36,828,N4387,10.2,0,38.63,0.913752585471198,10.278342762384366,18.36,2.203
37,1250,N4476,10.2,1,38.73,1.0062967298034728,10.194547877298694,19.26,7.976
38,1630,N4551,10.2,0,38.29,1.0258434477984473,10.177837822200646,18.66,2.24
39,1146,N4458,10.0,0,38.33,1.2729985535460018,9.790344179632747,19.77,2.043
40,1025,N4434,10.4,1,38.92,1.1009769632147164,10.316443536177111,18.24,3.711
41,1303,N4483,10.1,0,38.15,1.0467490985415715,10.060314808900385,18.89,3.727
42,1913,N4623,10.1,0,38.46,1.2125102898086895,9.932629134254412,19.32,2.275
43,1327,N4486A,10.1,1,38.68,0.4998390267144827,10.70233967559061,17.28,2.614
44,1125,N4452,9.9,0,38.46,0.8927359123950998,9.998553988721987,18.93,2.087
45,1475,N4515,9.9,0,38.34,0.7637463843990966,10.134101665418223,18.61,3.382
46,1178,N4464,9.9,1,38.66,0.4479945060976723,10.597454623727351,17.49,3.468
47,1283,N4479,10.1,1,38.54,1.639711621937255,9.670465050262957,19.98,2.41
48,1261,N4482,9.8,0,38.42,1.7674091214731007,9.305325815947494,20.64,2.135
49,698,N4352,10.0,0,38.44,1.3787713239810315,9.721015515463353,19.59,3.365
50,1422,I3468,9.6,0,38.08,1.6357274231058967,9.172578130551564,20.96,2.101
51,2048,I3773,9.6,0,38.12,1.0111274133220483,9.590388230032374,20.06,1.973
52,1871,I3653,9.5,0,38.08,0.5196756632907605,10.06853524192099,18.91,1.983
53,9,I3019,9.7,0,38.15,3.0031279270101856,8.744852334728733,22.21,1.146
54,575,N4318,10.8,0,38.39,52.452961786602906,7.36045996818157,25.55,13.325
55,1910,I809,9.5,0,38.3,0.9356937982371721,9.557732498020417,20.15,1.564
56,1049,U7580,9.0,0,38.08,0.6500381836316659,9.374122263780517,20.33,2.017
57,856,I3328,9.5,0,38.16,1.362622180263273,9.231249092106104,21.05,1.317
58,140,I3065,9.4,0,38.13,0.7357042762700398,9.666593439240042,19.69,1.422
59,1355,I3442,9.4,1,38.58,2.500610789521253,8.603907798559886,22.45,1.647
60,1087,I3381,9.6,0,38.15,1.6462716358563485,9.16699700869658,21.06,1.675
61,1297,N4486B,9.7,1,38.42,0.1808553804147824,11.185337133056123,16.14,2.788
62,1861,I3652,9.5,0,38.12,1.427260449110883,9.190993537596022,21.05,1.593
63,543,U7436,9.4,0,38.27,1.3921570297164656,9.112623550581619,21.14,1.716
64,1431,I3470,9.5,0,38.66,0.7746643884976832,9.721772816385716,19.85,1.538
65,1528,I3501,9.3,0,38.13,0.780284348689105,9.515494208560645,20.03,2.101
66,1695,I3586,9.5,0,38.14,2.1664675042269392,8.828495641499016,21.99,2.554
67,1833,,9.3,0,38.11,0.6078623022572229,9.732389578765995,19.65,1.864
68,437,U7399A,9.6,0,38.17,2.1596927178471144,8.931216072176534,21.6,1.984
69,2019,I3735,9.4,0,38.17,1.5764376187882871,9.004646420085296,21.42,1.723
70,33,I3032,8.9,0,38.25,0.6692426231677768,9.248832814387955,20.74,1.064
71,200,,9.2,0,38.42,1.1576575003005942,9.072839820303486,21.13,1.933
72,571,,9.4,0,38.46,1.6283441955562798,8.976507579199442,21.37,2.775
73,21,I3025,9.0,0,38.11,0.9823294806641417,9.01548564431481,21.18,1.316
74,1488,I3487,9.0,0,38.14,0.8399397025222711,9.15150377978523,20.88,1.394
75,1779,I3612,9.0,0,38.14,0.9031351658548991,9.08849449407517,21.01,1.314
76,1895,U7854,9.0,0,38.1,0.8014721609946349,9.192223116392316,20.81,1.402
77,1499,I3492,8.8,1,38.42,0.5183627878423158,9.37073236618392,20.23,1.166
78,1545,I3509,9.2,0,38.16,0.8763210907800929,9.314673471674197,20.6,2.718
79,1192,N4467,9.5,0,38.68,0.5671592848459907,9.992589907558973,19.27,2.902
80,1857,I3647,9.0,0,38.14,1.7502743515416468,8.51378774260232,22.5,0.856
81,1075,I3383,9.2,0,38.12,1.3928309207332084,8.912203200963027,21.79,1.422
82,1948,,8.8,0,38.14,0.9775298252211575,8.819739966112037,21.77,1.199
83,1627,,9.1,0,38.34,0.29325458424321726,10.165510380276721,18.66,2.189
84,1440,I798,9.2,0,38.27,0.5972904551269483,9.647628850696105,19.86,3.307
85,230,I3101,8.9,0,38.62,0.784418839761607,9.110903968442342,21.16,1.353
86,2050,I3779,9.0,0,38.1,0.8981522508404552,9.093300074782924,21.23,1.421
87,1993,,9.0,0,38.14,0.877799772507477,9.113209072087491,21.31,1.998
88,751,I3292,9.4,0,38.29,0.9930167134505204,9.406086883677416,20.68,2.434
89,1828,I3635,9.1,0,38.16,1.3454874103318184,8.842240723112234,21.81,1.654
90,538,N4309A,8.9,0,38.41,0.5398041577030662,9.435527549449537,20.19,1.867
91,1407,I3461,9.1,0,38.35,0.8843365153698769,9.20676488409564,20.93,1.521
92,1886,,8.8,0,38.14,1.0719230489331841,8.739672781195491,21.86,0.833
93,1199,,9.0,0,38.14,0.26558093451180376,10.151606210517034,18.85,3.016
94,1743,I3602,8.9,0,38.2,0.9157471089552827,8.976448887487358,21.45,1.178
95,1539,,8.9,0,38.16,1.833672000966109,8.37335669274091,22.82,1.622
96,1185,,9.1,0,38.36,1.733713116194945,8.622045530399275,22.44,1.712
97,1826,I3633,8.8,0,38.12,0.5402346722518915,9.334835092483544,20.59,1.508
98,1512,,9.2,0,38.23,6.841610188746707,7.529683348082987,24.67,7.104
99,1489,I3490,8.7,0,38.14,0.8871363143782843,8.804019285626786,21.96,1.012
100,1661,,9.0,0,38.12,3.01762337126168,8.040669930704542,23.61,1.931
