recno,Name,f_Name,Dist,e_Dist,logBHMass,E_logBHMass,e_logBHMass,logsigma,e_logsigma,logLk,e_logLk,logRe,e_logRe,cov,C28,e_C28,logAGN,e_logAGN,Meth,Refs,SimbadName,NED,_RA,_DE,lum_compactness
1,3C120,,141.4,14.1,7.73,0.15,0.15,2.21,0.05,11.2,0.09,1.0,0.06,0.05,3.8,0.2,11.39,0.0,reverb,45,3C120,NED,68.29623,5.35434,9.2
2,3C390.3,,240.3,24.0,8.62,0.16,0.16,2.44,0.03,11.25,0.1,0.64,0.09,0.14,3.9,0.8,11.26,0.04,reverb,26,3C390.3,NED,280.53746,79.77142,9.97
3,A1836BCG,,152.4,8.4,9.57,0.06,0.06,2.46,0.02,11.75,0.06,0.89,0.06,0.04,4.9,0.5,,,gas,19,MCG-02-36-002,NED,210.42444,-11.60699,9.97
4,A3565BCG,,49.2,3.6,9.11,0.07,0.07,2.51,0.02,11.83,0.07,0.98,0.06,0.04,5.3,0.2,,,gas,19,IC 4296,NED,204.16272,-33.96592,9.870000000000001
5,Ark120,,140.1,14.0,8.05,0.17,0.17,2.28,0.02,11.2,0.09,0.74,0.07,0.05,3.9,0.4,11.53,0.0,reverb,27,Ark120,NED,79.04748,-0.1499,9.719999999999999
6,Arp151,,90.3,9.0,6.65,0.16,0.16,2.07,0.01,10.62,0.09,0.45,0.13,0.1,10.9,3.3,,,reverb,8,Arp151,NED,171.40063,54.38259,9.719999999999999
7,Circinus,,2.8,0.5,6.06,0.1,0.1,2.2,0.05,10.22,0.12,0.18,0.13,0.09,6.7,0.6,,,maser,36,NAME Circinus Galaxy,NED,213.29127,-65.33902,9.860000000000001
8,CygnusA,,257.1,25.7,9.41,0.13,0.13,2.43,0.02,12.24,0.1,1.46,0.08,0.05,4.4,0.4,,,gas,81,NAME Cygnus A,NED,299.86815,40.73392,9.32
9,ESO558-009,,102.5,10.2,7.22,0.03,0.03,2.23,0.05,11.13,0.1,0.68,0.13,0.09,5.6,0.7,10.1,0.09,maser,34,ESO558-009,NED,106.08751,-21.58871,9.770000000000001
10,Fairall9,,201.4,20.1,8.27,0.21,0.21,2.35,0.08,11.57,0.09,0.88,0.07,0.07,4.1,0.7,11.42,0.02,reverb,"71,88",Fairall9,NED,20.94062,-58.80574,9.81
12,IC0342,,3.7,0.4,6.41,0.29,6.41,1.78,0.17,10.65,0.1,0.83,0.11,0.13,3.4,0.2,,,gas,7,IC0342,NED,56.70214,68.09611,8.99
13,IC1459,,28.9,3.7,9.39,0.08,0.08,2.53,0.02,11.64,0.11,0.8,0.08,0.05,5.9,0.3,,,star,14,IC1459,NED,344.2942,-36.46222,10.040000000000001
14,IC1481,,89.9,9.0,7.15,0.13,0.13,1.98,0.12,10.99,0.09,0.5,0.06,0.06,4.4,0.5,9.73,0.12,maser,"43,88",IC1481,NED,349.85458,5.90621,9.99
15,IC2560,,41.8,4.2,7.64,0.05,0.05,2.15,0.03,11.26,0.1,1.09,0.1,0.05,4.5,0.5,9.6,0.07,maser,34,IC2560,NED,154.07777,-33.56385,9.08
16,IC3639,,44.8,4.5,7.01,0.35,7.01,1.96,0.02,10.76,0.09,0.33,0.05,0.07,3.8,0.5,9.71,0.13,gas,7,IC3639,NED,190.22032,-36.75585,10.1
17,J0437+2456,,66.0,6.6,6.45,0.03,0.03,2.04,0.05,10.61,0.08,0.7,0.05,0.04,3.0,0.4,9.57,0.03,maser,34,2MASX J04370366+2456067,NED,69.26533,24.93525,9.209999999999999
18,Mrk0050,,100.3,10.0,7.4,0.18,0.18,2.03,0.06,10.44,0.08,0.3,0.06,0.07,3.2,0.8,9.93,0.03,reverb,4,Mrk0050,NED,185.85059,2.679,9.84
19,Mrk0079,,95.0,9.5,7.58,0.23,0.23,2.11,0.04,11.17,0.09,0.93,0.06,0.04,3.2,0.3,10.99,0.0,reverb,71,Mrk0079,NED,115.63699,49.80973,9.31
20,Mrk0202,,90.0,9.0,6.11,0.28,0.28,1.89,0.02,10.48,0.1,0.35,0.09,0.1,5.8,2.0,9.48,0.21,reverb,8,Mrk0202,NED,184.47901,58.6599,9.780000000000001
21,Mrk0509,,147.3,14.7,8.03,0.15,0.15,2.26,0.03,11.19,0.1,0.58,0.09,0.09,4.1,0.7,11.54,0.01,reverb,71,Mrk0509,NED,311.0407,-10.72346,10.03
22,Mrk0590,,113.0,11.3,7.55,0.18,0.18,2.28,0.01,11.58,0.09,0.96,0.06,0.05,5.1,0.4,11.14,0.01,reverb,71,Mrk0590,NED,33.63991,-0.76674,9.66
23,Mrk0817,,134.7,13.5,7.57,0.18,0.18,2.08,0.05,11.17,0.08,0.76,0.05,0.05,3.6,0.6,11.23,0.0,reverb,24,Mrk0817,NED,219.09222,58.79415,9.65
24,Mrk1216,,94.0,9.4,9.3,0.7,9.3,2.49,0.01,11.29,0.09,0.47,0.07,0.06,6.6,2.2,,,star,96,Mrk1216,NED,127.19634,-6.94018,10.35
25,Mrk1310,,83.8,8.4,6.19,0.19,0.19,1.92,0.03,10.35,0.1,0.28,0.08,0.06,2.8,0.6,10.02,0.01,reverb,8,Mrk1310,NED,180.3098,-3.67805,9.79
26,NGC0193,,49.7,5.0,8.4,0.32,0.32,2.27,0.04,11.24,0.08,0.83,0.07,0.05,5.9,0.3,,,gas,7,NGC0193,NED,9.82741,3.33135,9.58
28,NGC0221,,0.8,0.0,6.39,0.19,0.19,1.87,0.02,9.11,0.04,-0.9,0.04,0.02,5.0,0.3,,,star,87,NGC0221,NED,10.67427,40.86517,10.91
29,NGC0289,,17.1,1.7,7.38,0.3,7.38,2.03,0.05,10.6,0.08,0.35,0.04,0.04,3.0,0.2,,,gas,7,NGC0289,NED,13.17652,-31.20583,9.9
30,NGC0307,,52.8,5.7,8.6,0.06,0.06,2.31,0.01,10.95,0.08,0.44,0.07,0.06,6.5,0.6,,,stars,75,NGC0307,NED,14.13581,-1.77194,10.069999999999999
31,NGC0315,,57.7,5.8,8.92,0.31,0.31,2.49,0.04,11.79,0.08,1.01,0.05,0.05,4.9,0.2,,,gas,7,NGC0315,NED,14.45368,30.35245,9.77
32,NGC0383,,59.2,5.9,8.76,0.32,0.32,2.38,0.03,11.69,0.11,1.09,0.13,0.07,6.1,0.4,,,gas,7,NGC0383,NED,16.85399,32.41256,9.51
33,NGC0404,,3.1,0.3,5.65,0.25,0.25,1.39,0.09,9.39,0.1,-0.23,0.09,0.05,4.7,0.3,,,gas,79,NGC0404,NED,17.36292,35.71806,9.850000000000001
34,NGC0428,,16.1,1.6,4.48,0.37,4.48,1.5,0.07,10.01,0.09,0.51,0.06,0.04,3.4,0.3,,,star,61,NGC0428,NED,18.23212,0.98158,8.99
35,NGC0524,,24.2,2.2,8.94,0.05,0.05,2.37,0.02,11.29,0.08,0.56,0.07,0.04,4.7,0.4,,,star,51,NGC0524,NED,21.19878,9.53879,10.169999999999998
36,NGC0541,,63.7,6.4,8.59,0.34,0.34,2.28,0.01,11.36,0.1,0.92,0.09,0.06,6.1,0.3,,,gas,7,NGC0541,NED,21.4346,-1.3795,9.52
38,NGC0613,,15.4,1.5,7.6,0.35,0.35,2.09,0.07,10.97,0.12,0.82,0.11,0.06,4.7,0.3,,,gas,7,NGC0613,NED,23.57598,-29.41849,9.33
39,NGC0741,,65.7,6.6,8.67,0.37,0.37,2.37,0.02,11.82,0.09,1.18,0.07,0.05,5.5,0.3,,,gas,7,NGC0741,NED,29.08733,5.62882,9.46
40,NGC0788,,47.9,4.8,7.92,0.28,0.28,2.1,0.06,11.14,0.09,0.59,0.09,0.05,4.6,0.6,,,gas,7,NGC0788,NED,30.27687,-6.81583,9.96
41,NGC0821,,23.4,1.8,8.22,0.21,0.21,2.32,0.02,11.14,0.08,0.82,0.09,0.05,5.9,0.3,,,star,78,NGC0821,NED,32.08812,10.99487,9.5
42,NGC1023,,10.8,0.8,7.62,0.05,0.05,2.22,0.02,10.94,0.07,0.49,0.1,0.06,5.9,0.4,,,star,11,NGC1023,NED,40.10005,39.06325,9.959999999999999
43,NGC1042,,18.2,1.8,4.4,2.08,4.4,1.64,0.07,10.48,0.09,0.78,0.06,0.05,2.8,0.5,8.03,0.21,star,61,NGC1042,NED,40.0999,-8.43365,8.92
44,NGC1052,,18.1,1.8,8.24,0.29,0.29,2.28,0.01,10.92,0.08,0.34,0.05,0.05,5.4,0.3,,,gas,7,NGC1052,NED,40.26999,-8.25576,10.24
45,NGC1097,,14.5,1.5,8.14,0.09,0.09,2.29,0.01,11.18,0.1,0.74,0.12,0.08,6.1,0.4,,,CO,66,NGC1097,NED,41.57941,-30.27491,9.7
46,NGC1194,,58.0,6.3,7.85,0.05,0.05,2.17,0.07,11.06,0.09,0.74,0.06,0.05,5.8,0.4,9.54,1.89,maser,52,NGC1194,NED,45.95458,-1.10361,9.58
47,NGC1271,,84.0,8.4,9.53,0.06,0.06,2.45,0.01,11.07,0.08,0.33,0.07,0.07,9.1,4.0,,,star,92,NGC1271,NED,49.79696,41.35336,10.41
48,NGC1275,,70.0,7.0,8.98,0.2,0.2,2.39,0.05,11.84,0.08,1.15,0.05,0.05,4.9,0.2,,,gas,"77,88",NGC1275,NED,49.95067,41.5117,9.54
49,NGC1277,,71.0,7.1,9.67,0.15,0.15,2.5,0.01,11.07,0.08,0.15,0.07,0.07,7.8,3.2,,,star,93,NGC1277,NED,49.96453,41.57341,10.77
50,NGC1316,,18.6,0.6,8.18,0.25,0.25,2.35,0.02,11.91,0.06,1.2,0.13,0.07,6.0,0.3,,,star,64,NGC1316,NED,50.67412,-37.2082,9.51
51,NGC1320,,49.1,4.9,6.74,0.16,0.16,2.15,0.05,11.01,0.09,0.6,0.08,0.07,5.2,0.4,9.21,3.27,maser,34,NGC1320,NED,51.20294,-3.0423,9.81
52,NGC1332,,22.3,1.9,8.83,0.04,0.04,2.52,0.02,11.31,0.08,0.68,0.12,0.06,6.9,0.6,,,CO,6,NGC1332,NED,51.57217,-21.33537,9.950000000000001
53,NGC1358,,48.2,4.8,8.37,0.32,0.32,2.23,0.05,11.28,0.11,0.94,0.12,0.07,5.9,0.5,,,gas,7,NGC1358,NED,53.41545,-5.08957,9.399999999999999
54,NGC1374,,19.2,0.7,8.76,0.06,0.06,2.31,0.02,10.67,0.03,0.24,0.03,0.02,5.2,0.3,,,star,74,NGC1374,NED,53.81916,-35.22625,10.19
55,NGC1386,,16.1,1.6,6.07,0.29,0.29,2.22,0.02,10.51,0.08,0.25,0.06,0.05,5.5,0.3,8.66,1.93,maser,12,NGC1386,NED,54.19266,-35.99927,10.01
56,NGC1398,,24.8,4.1,8.03,0.08,0.08,2.37,0.01,11.66,0.15,0.91,0.11,0.08,5.6,0.4,,,stars,75,NGC1398,NED,54.71721,-26.33784,9.84
57,NGC1399,,20.9,0.7,8.94,0.31,0.31,2.53,0.02,11.54,0.05,0.74,0.09,0.05,5.6,0.4,,,star,"33,42",NGC1399,NED,54.62118,-35.45074,10.059999999999999
58,NGC1407,,28.0,3.4,9.65,0.08,0.08,2.45,0.02,11.72,0.12,0.97,0.11,0.08,5.4,0.5,,,star,74,NGC1407,NED,55.0496,-18.58038,9.780000000000001
60,NGC1493,,11.4,1.1,5.4,0.51,5.4,1.55,0.07,9.96,0.12,0.51,0.09,0.07,3.1,0.6,,,star,61,NGC1493,NED,59.36409,-46.21074,8.940000000000001
61,NGC1497,,75.3,7.5,8.63,0.19,0.19,2.39,0.04,11.32,0.08,0.73,0.05,0.05,5.4,0.4,,,gas,7,NGC1497,NED,60.52835,23.13291,9.86
62,NGC1550,,51.6,5.6,9.57,0.07,0.07,2.48,0.02,11.32,0.1,0.66,0.08,0.05,5.8,0.4,,,star,74,NGC1550,NED,64.908,2.40988,10.0
63,NGC1600,,64.0,6.4,10.23,0.04,0.04,2.47,0.02,11.86,0.08,1.08,0.05,0.04,4.9,0.2,,,star,82,NGC1600,NED,67.91607,-5.0861,9.7
64,NGC1667,,56.1,5.6,8.2,0.23,0.23,2.24,0.07,11.32,0.1,0.69,0.08,0.05,3.9,0.6,,,gas,7,NGC1667,NED,72.15502,-6.31985,9.940000000000001
65,NGC1961,,48.6,4.9,8.29,0.34,0.34,2.34,0.08,11.74,0.09,1.2,0.07,0.05,5.5,0.4,,,gas,7,NGC1961,NED,85.5199,69.37838,9.34
66,NGC2110,,29.1,2.9,8.12,0.64,0.64,2.3,0.05,11.04,0.08,0.4,0.06,0.05,5.6,0.4,,,gas,7,NGC2110,NED,88.04752,-7.45617,10.239999999999998
67,NGC2179,,35.8,3.6,8.31,0.23,0.23,2.19,0.03,10.86,0.1,0.53,0.08,0.05,5.9,0.4,,,gas,7,NGC2179,NED,92.00919,-21.74667,9.799999999999999
68,NGC2273,,29.5,1.9,6.93,0.04,0.04,2.16,0.05,10.98,0.07,0.6,0.09,0.05,5.8,0.5,,,maser,52,NGC2273,NED,102.5361,60.84569,9.780000000000001
69,NGC2329,,72.3,7.2,8.18,0.18,0.18,2.34,0.03,11.46,0.1,0.84,0.08,0.06,5.4,0.3,,,gas,7,NGC2329,NED,107.28321,48.6156,9.780000000000001
70,NGC2549,,12.7,1.6,7.16,0.37,0.37,2.15,0.02,10.29,0.1,0.05,0.05,0.05,5.4,0.2,,,star,51,NGC2549,NED,124.74311,57.80311,10.19
71,NGC2685,,12.5,1.3,6.59,0.41,6.59,2.02,0.02,10.2,0.09,0.2,0.08,0.05,5.1,0.3,,,gas,7,NGC2685,NED,133.89479,58.73441,9.799999999999999
72,NGC2748,,23.4,8.2,7.65,0.24,0.24,2.06,0.02,10.62,0.25,0.53,0.14,0.13,4.2,0.3,,,gas,1,NGC2748,NED,138.42932,76.47534,9.559999999999999
73,NGC2778,,23.4,2.3,7.16,0.3,7.16,2.12,0.02,10.27,0.08,0.08,0.06,0.05,5.1,0.4,,,star,78,NGC2778,NED,138.10164,35.02742,10.11
74,NGC2787,,7.4,1.2,7.61,0.09,0.09,2.28,0.02,10.21,0.13,-0.02,0.07,0.06,4.9,0.3,,,gas,76,NGC2787,NED,139.82724,69.2034,10.25
75,NGC2892,,86.2,8.6,8.43,0.11,0.11,2.47,0.03,11.54,0.08,0.83,0.07,0.05,5.2,0.4,,,gas,7,NGC2892,NED,143.22041,67.6174,9.879999999999999
76,NGC2903,,10.4,1.0,7.06,0.28,7.06,1.97,0.06,11.06,0.12,0.73,0.11,0.04,3.3,0.3,,,gas,7,NGC2903,NED,143.04213,21.50083,9.600000000000001
77,NGC2960,,67.1,7.1,7.03,0.05,0.05,2.18,0.02,11.14,0.09,0.73,0.08,0.08,5.7,0.3,10.02,0.11,maser,"52,88",NGC2960,NED,145.15157,3.57693,9.68
78,NGC2964,,19.7,2.0,6.73,0.61,6.73,1.97,0.09,10.63,0.08,0.41,0.05,0.05,4.0,0.4,,,gas,7,NGC2964,NED,145.72605,31.84721,9.81
79,NGC2974,,21.5,2.4,8.23,0.09,0.09,2.36,0.02,11.04,0.09,0.55,0.07,0.06,5.8,0.4,,,stars,15,NGC2974,NED,145.63861,-3.69912,9.94
80,NGC3021,,22.4,2.2,7.26,0.3,7.26,1.7,0.2,10.4,0.09,0.31,0.06,0.04,3.6,0.3,,,gas,7,NGC3021,NED,147.73797,33.55347,9.780000000000001
81,NGC3031,,3.6,0.1,7.81,0.13,0.13,2.15,0.02,10.93,0.08,0.44,0.11,0.04,5.0,0.3,,,gas,25,NGC3031,NED,148.88822,69.06529,10.049999999999999
82,NGC3078,,32.8,3.3,7.91,0.42,0.42,2.32,0.03,11.27,0.09,0.55,0.07,0.05,5.6,0.4,9.57,0.04,gas,7,NGC3078,NED,149.60257,-26.92687,10.17
83,NGC3079,,15.9,1.2,6.4,0.05,0.05,2.16,0.02,10.86,0.07,0.63,0.05,0.03,5.4,0.4,,,maser,"84,95;46",NGC3079,NED,150.49085,55.67979,9.6
84,NGC3081,,33.5,3.4,7.2,0.3,0.3,2.09,0.03,10.96,0.11,0.66,0.13,0.06,5.4,0.6,,,gas,7,NGC3081,NED,149.87305,-22.8262,9.64
